"NKp44" "CD117" "CD127" "NKG2A" "CD16" "CRTH2" "CD45" "CD161" "CD56" "NCR2" "KIT" "IL7R" "KLRC1" "FCGR3A.B" "PTGDR2" "PTPRC" "KLRB1" "NCAM1" "All.Events.FSC.A.Mean" "All.Events.SSC.A.Mean"
"T74_P4_H3_ILC3" 562 197 315 28 -41 23 1813 595 -9 -3.32192809488736 -0.637399215748656 10.8203359673681 5.91928374434858 -3.32192809488736 -3.32192809488736 -0.302986253628887 11.332246001687 -3.32192809488736 56375 14603
"T74_P4_H4_ILC3" 43 1244 638 -19 114 87 938 796 56 0.696312414146035 -0.444242793238957 10.4673672179618 1.0465719495055 -3.32192809488736 -3.32192809488736 10.3287105407915 10.5773624789196 -1.52726240234343 54565 11228
"T74_P4_H5_ILC3" 364 973 650 26 -59 22 1770 330 282 -3.32192809488736 9.27359429522168 8.64577284715084 1.46303035991338 -3.32192809488736 -3.32192809488736 1.01162089892485 3.11609589267614 -3.32192809488736 65597 13858
"T74_P4_H6_ILC3" 2797 2130 1250 -42 212 80 4134 2008 1462 8.37701688496528 4.99359317983166 9.83794393507808 9.81057681234586 -3.32192809488736 -3.32192809488736 9.64144236968107 11.554707944077 -3.32192809488736 78023 19385
"T74_P4_H8_ILC3" 383 570 381 -27 -116 124 1427 1129 228 0.0515911800560212 6.93675451993874 10.6502743489903 9.06254396949389 -3.32192809488736 -3.32192809488736 8.60998782865293 10.8989117575628 -3.32192809488736 79339 21630
"T74_P4_H9_ILC3" 1443 550 425 -12 19 23 2605 1156 572 10.4003042650646 8.26167074463436 10.5689193648933 8.08868510986998 -3.32192809488736 -3.32192809488736 9.10126889202776 11.1999976744849 -3.32192809488736 71961 16377
"T86_P1_A1_ILC3" 2225 619 987 -46 -101 -4 2563 2771 1726 9.03291876358948 8.67954228765666 10.6891523239816 8.80890105035806 -3.32192809488736 -3.32192809488736 7.88283980016395 8.05660250167008 4.78057059538379 73559 11495
"T86_P1_A10_ILC3" 2147 384 721 12 -121 -58 1863 416 1551 9.38315984790873 5.74303917427879 9.99986323527008 9.46316914364998 -3.32192809488736 -3.32192809488736 9.41242129804425 7.95892462853569 -3.32192809488736 63335 11536
"T86_P1_A12_ILC3" 1385 1065 1367 -9 -93 -11 3397 3667 4000 7.63923742333794 8.31907957620675 9.82589175177248 8.17792227420299 -3.32192809488736 -3.32192809488736 9.82918503755961 11.5493783299487 -3.32192809488736 76089 15080
"T86_P1_A3_ILC3" -51 544 1215 -40 -30 108 2153 3540 109 -3.32192809488736 1.55425303218379 10.7110756895723 3.96271372491288 -3.32192809488736 -3.32192809488736 8.98601252302546 10.8607427618708 -3.32192809488736 79965 15646
"T86_P1_A5_ILC3" -55 666 964 -59 27 -3 3700 1061 1984 -3.32192809488736 6.50611904801513 12.0884413478412 1.86432486506719 -3.32192809488736 -3.32192809488736 5.0522730953513 9.39509990777184 -3.32192809488736 57831 11815
"T86_P1_A8_ILC3" 984 295 2105 -76 64 -143 3822 8952 4851 -3.32192809488736 6.18939323230375 10.5191290383317 9.12082156916115 -3.32192809488736 -3.32192809488736 7.04416319822582 10.9024160056352 -3.32192809488736 70518 15176
"T86_P1_B1_ILC3" 1334 416 718 -21 -59 24 2017 2075 1956 -3.32192809488736 6.43671830053768 9.89105457649237 8.93339171013167 -3.32192809488736 -3.32192809488736 8.50517356472888 10.8544120144703 -0.588109206829583 63618 10591
"T86_P1_B12_ILC3" 518 432 1201 -6 45 6 3118 164 206 9.04597470264481 6.66940563474708 11.0691897455783 9.62315290905789 -3.32192809488736 -3.32192809488736 8.74559134394424 1.97307678828158 -3.32192809488736 70668 22738
"T86_P1_B3_ILC3" 1914 670 811 -98 98 -21 6938 11036 555 5.14187418841247 5.97822675326927 8.00530739960403 4.72301549034444 -3.32192809488736 -3.32192809488736 9.82835628944946 12.7109915069222 -3.32192809488736 76425 15924
"T86_P1_B5_ILC3" 1427 986 781 -13 -25 -9 2256 1652 2084 9.26991125862931 9.16618629766004 10.143860220036 9.00687954652518 -3.32192809488736 -3.32192809488736 10.0037022293825 11.6257854654122 7.87041561051788 65883 11547
"T86_P1_B6_ILC3" 5 439 1115 -12 -114 4 3365 3814 941 1.08589930303919 7.55311388357077 9.88835207203032 8.79327874576279 -3.32192809488736 -3.32192809488736 7.99163995238266 10.0499076361161 1.04900460043178 56945 14470
"T86_P1_B7_ILC3" 616 411 855 -25 -72 11 1447 1648 326 -3.32192809488736 6.61183353668008 7.34417361349096 2.39064469651248 -3.32192809488736 -3.32192809488736 2.30115863302121 8.95080686938029 -3.32192809488736 49199 8875
"T86_P1_B8_ILC3" 1427 554 724 -25 6 -43 6731 2258 166 8.03473739775022 7.93858138466558 9.00926282502594 9.26914313227704 -3.32192809488736 -3.32192809488736 9.24844785056537 10.127581842782 -3.32192809488736 75784 14551
"T86_P1_B9_NK" -54 61 78 3182 255 190 5904 1140 5846 -3.32192809488736 0.27271581543298 9.07516117072134 11.2175192963786 -3.32192809488736 -3.32192809488736 8.77789292908485 8.72231839341757 6.75688755005563 72481 15819
"T86_P1_C1_ILC3" 613 302 1063 -21 -3 -29 6224 3327 160 8.7082867026032 5.83048965135283 6.05302558978035 7.02086511634909 -3.32192809488736 -3.32192809488736 9.9853240348682 2.31745025466252 -3.32192809488736 64476 18368
"T86_P1_C10_ILC3" 8 714 1502 -44 28 74 2233 2983 596 -3.32192809488736 8.54820217726347 10.9309433883388 1.28443408558256 -3.32192809488736 -3.32192809488736 7.19790361260652 10.2618006041585 -3.32192809488736 68726 11071
"T86_P1_C11_ILC3" 1005 258 683 -5 14 -61 3235 3737 981 8.5061337969539 4.94813735349036 11.0657383740644 8.62554236306271 -3.32192809488736 -3.32192809488736 8.37842326422913 12.1171795071001 -1.83775458507531 75777 13438
"T86_P1_C12_ILC3" 3333 552 1306 22 88 -1 3766 8340 489 8.57282635678803 7.15535561552908 10.6764854071575 7.79819283525276 -3.32192809488736 -3.32192809488736 9.37911475882773 11.9865076919702 -2.09376865629424 85245 21166
"T86_P1_C2_ILC3" 807 720 1241 -31 -32 8 2554 2932 1065 -3.32192809488736 6.82109665654496 8.15397790939248 8.86239586879381 -3.32192809488736 -3.32192809488736 2.10949121282433 9.514447614757 4.71456150831977 61855 12098
"T86_P1_C3_ILC3" 533 190 729 -6 79 68 1120 1584 597 -3.32192809488736 -3.32192809488736 8.84954739228623 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.26882036168742 4.10973190887147 -0.413902089642524 52539 11508
"T86_P1_C4_ILC3" 2499 1080 821 33 10 40 3863 5201 1116 8.74874486470875 6.5519641520036 8.52283590749242 8.84592988200258 -3.32192809488736 -3.32192809488736 10.0670400463404 8.99451060066402 -3.32192809488736 82872 21353
"T86_P1_C5_ILC3" 1052 716 1267 -52 -101 9 2675 1860 245 0.609778555564633 5.82778054297228 10.8206772147527 8.52790181013283 -3.32192809488736 -3.32192809488736 3.65446970939877 10.3419019022374 -3.32192809488736 70014 13029
"T86_P1_C6_ILC3" 1941 472 759 12 -11 19 5223 5180 319 1.3593419425053 0.176041438024747 9.68718287904663 9.39542825081464 -3.32192809488736 -3.32192809488736 9.1554624181648 9.81922805437711 -3.32192809488736 67677 14070
"T86_P1_C7_ILC3" 749 316 1392 -48 -28 92 1581 4005 1709 -3.32192809488736 -1.10184705091186 10.1173378379111 9.60915228481498 -3.32192809488736 -3.32192809488736 9.70878502906714 10.1369076247464 -3.32192809488736 75998 13657
"T86_P1_C8_ILC3" 1939 807 1421 -25 -39 -49 3584 7844 752 0.645412496373236 -0.635180037889884 10.2569735537026 2.37161662981958 -3.32192809488736 -3.32192809488736 8.70959933144745 12.1518901718291 -3.32192809488736 78267 23962
"T86_P1_C9_ILC3" 1575 347 727 -18 -87 -36 5555 3040 573 7.51703368479088 4.51790572269869 11.1866728293157 9.55623064520264 -3.32192809488736 -3.32192809488736 10.2606166262434 11.9995687349039 -0.0941057394911593 76953 18652
"T86_P1_D1_ILC3" 62 465 1852 11 105 47 2687 1581 154 -3.32192809488736 -0.579299913526301 10.0070721283761 8.8192595330742 -3.32192809488736 -3.32192809488736 9.29035496565261 9.08540568419099 -0.613784833897214 60041 13046
"T86_P1_D10_ILC3" 259 540 912 75 -37 24 1958 1956 1295 2.67215980501123 -3.32192809488736 9.59239891851248 -3.32192809488736 -3.32192809488736 -3.32192809488736 6.13543499199475 9.13770149101764 -3.32192809488736 67367 14531
"T86_P1_D11_NK" 3 94 78 1064 -155 230 3863 614 4251 1.66499405237247 -3.32192809488736 1.0812464749371 9.08816219859351 8.42191978713468 -3.32192809488736 9.76498343546606 10.1778260860971 3.56749790095664 74962 18997
"T86_P1_D12_ILC3" 2407 958 1635 -59 -189 -31 3880 3835 2683 10.4859900216719 8.0608090286722 10.0150987088678 9.2253102528705 -3.32192809488736 -3.32192809488736 2.13467288413151 11.824501200226 -3.32192809488736 72952 28575
"T86_P1_D2_NK" -21 147 118 1502 -236 85 2761 906 4852 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.102268940923 -3.32192809488736 -3.32192809488736 9.6155469517947 3.32157625263831 3.49646612505119 75570 18250
"T86_P1_D3_ILC3" 163 465 1423 -88 -132 -114 3987 3642 3328 0.727044178179768 -0.191759891701867 7.97659259105457 3.71208232394012 -3.32192809488736 -3.32192809488736 8.92792131542694 9.21404838844245 -1.50389026791424 76262 19037
"T86_P1_D5_ILC3" 211 1166 720 -53 3 -41 2614 4237 344 -3.32192809488736 4.07617182598099 9.40723704334155 8.58412744354187 -3.32192809488736 -3.32192809488736 8.81793317380232 11.1654072530733 -3.32192809488736 69142 18296
"T86_P1_D6_ILC3" 336 270 1345 -59 -52 35 2823 1824 66 8.52144154338865 7.09066424446959 10.8635847866999 -3.32192809488736 -3.32192809488736 -3.32192809488736 8.50918367185355 9.45046906231296 -3.32192809488736 76662 12234
"T86_P1_D7_ILC3" 1089 999 701 1 93 81 2809 5952 262 -3.32192809488736 6.42076284823183 9.42141080299021 9.12869711386399 -3.32192809488736 -3.32192809488736 9.21960408527375 8.46157722601575 -3.32192809488736 81599 26940
"T86_P1_D8_ILC3" -37 1303 749 -20 48 19 2298 3236 907 -3.32192809488736 -3.32192809488736 10.8973923698519 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.73351351945879 9.11091099539266 -0.445978733749414 64176 15297
"T86_P1_E1_ILC3" -77 618 683 14 5 44 2979 2056 1620 0.620105889426472 5.97443288462523 9.38464187123846 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.26784472341273 10.9151884712677 -3.32192809488736 68028 14636
"T86_P1_E10_ILC3" 1709 681 969 4 10 -40 4550 3114 2903 8.22682120773607 7.09901384186931 9.88487553444784 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.963637454679 10.6408051835771 -0.0939066676084275 76065 16604
"T86_P1_E11_ILC3" 2592 916 796 24 37 -44 4501 2368 2382 8.80439748135556 8.33636594728347 10.6577107123137 8.09921302870987 0.104185751820099 -3.32192809488736 9.93466304977204 11.6921479866393 -3.32192809488736 65094 18348
"T86_P1_E12_ILC3" 2222 799 677 -34 -67 -78 6809 5943 528 9.6614811859876 6.01377397185221 9.9663731140172 8.06133139131275 -3.32192809488736 -3.32192809488736 8.64477733983223 10.7472937516949 -3.32192809488736 81675 17375
"T86_P1_E2_ILC3" 53 1842 1017 9 61 -28 2712 1993 617 -3.32192809488736 7.97250026388088 11.6425595536833 -3.32192809488736 -3.32192809488736 -3.32192809488736 7.28846430301047 10.1006389912147 -3.32192809488736 56855 13059
"T86_P1_E3_ILC3" 1723 578 1381 -41 -13 36 3595 5346 311 -0.554768738173581 6.17833340352565 9.98559254583893 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.70845189633207 10.9385509222731 -3.32192809488736 68375 17072
"T86_P1_E4_ILC3" 636 359 1590 -34 -199 105 2130 2811 243 7.78474478447947 7.51281894431389 10.0186189629329 -3.32192809488736 -3.32192809488736 -3.32192809488736 6.95107561557745 8.51280686294896 -3.32192809488736 73514 14418
"T86_P1_E5_ILC3" 937 352 751 -19 29 62 1132 2800 360 1.24379567025778 -0.456582946505958 10.4957764940031 1.74849927524144 -3.32192809488736 -3.32192809488736 10.0832981920877 12.177437347227 -3.32192809488736 69283 9786
"T86_P1_E6_NK" 44 164 114 2040 -176 189 4005 1699 8581 0.142447804806496 -3.32192809488736 1.7005096836871 10.5320077842747 -3.32192809488736 -3.32192809488736 9.99944330576386 9.66207696359207 9.81822430291466 71016 14551
"T86_P1_E7_NK" 41 12 50 1927 -369 69 6137 1431 9276 0.487353833050631 6.97632739795646 1.89397056847539 9.52039455522644 -3.32192809488736 -3.32192809488736 9.9098264977302 0.721112310099763 5.89035308053322 83887 23632
"T86_P1_E8_ILC3" 2134 507 1464 -3 -93 37 2323 2899 492 -3.32192809488736 6.9325981424883 10.9456743975225 9.04033279662875 -3.32192809488736 -3.32192809488736 5.36841674105349 10.1327242973285 -1.24008990759102 75938 18232
"T86_P1_E9_ILC3" 1513 746 967 -10 13 20 1993 5787 344 8.55919293555747 9.26049698063805 9.46689244604953 8.37764612517106 -3.32192809488736 -3.32192809488736 10.4826765607253 10.1784798897166 -3.32192809488736 75388 16241
"T86_P1_F1_ILC3" 2470 260 742 18 -57 61 5318 2427 310 -3.32192809488736 -1.57709812660614 9.91303458996612 10.7607497332811 -3.32192809488736 -3.32192809488736 9.41496155025749 10.5302309346354 -3.32192809488736 72540 12380
"T86_P1_F10_ILC3" 1468 600 923 -9 29 -3 8839 3017 240 10.2698504832868 5.60609188628565 3.85427867015417 5.86202167656971 -3.32192809488736 -3.32192809488736 9.80135573689128 10.3830431771216 -1.3217360953306 72355 20603
"T86_P1_F11_ILC3" 500 375 1309 -26 92 -39 1906 2618 857 0.616989895338195 7.67233863958939 10.9495226591725 8.12758246886872 -3.32192809488736 -3.32192809488736 7.41785518833232 10.1056874205188 -3.32192809488736 60160 16469
"T86_P1_F12_ILC3" 1347 1253 882 -52 99 108 2703 2375 1019 -3.32192809488736 8.4759619648319 10.0617873675369 9.55344415944582 -3.32192809488736 -3.32192809488736 10.2652517523324 10.6902765561186 -1.80695596237536 70573 14582
"T86_P1_F2_ILC3" 2555 468 1384 -57 97 -46 4770 3235 249 9.01998158807155 6.64399610040718 10.8820904405651 -3.32192809488736 -3.32192809488736 -3.32192809488736 7.38379802045364 10.9766656971621 -3.32192809488736 68907 15971
"T86_P1_F3_ILC3" 3211 702 754 -86 -201 28 6880 3296 398 9.49343076735175 4.75042720052735 9.68687427746754 1.08967072731103 -3.32192809488736 -3.32192809488736 9.57242923180767 10.6057289354357 -3.32192809488736 79526 13595
"T86_P1_F4_ILC3" 2288 560 1085 -13 45 33 1447 2613 2848 9.55638590301631 8.05804242152844 9.24681307469585 9.73784088854611 -3.32192809488736 -3.32192809488736 9.52943277245499 9.58216301431649 -3.32192809488736 54147 20373
"T86_P1_F5_ILC3" 644 492 1870 -59 -22 -39 4503 5395 4131 -3.32192809488736 4.97152331195817 10.8895308366379 -3.32192809488736 -3.32192809488736 -3.32192809488736 7.99609513422169 9.43547740133361 -3.32192809488736 70736 14672
"T86_P1_F6_ILC3" 300 264 938 -17 -25 59 2320 478 860 7.83566256537463 8.1761728046612 10.8881328035722 0.576376251878171 -3.32192809488736 -3.32192809488736 9.60986454626224 -3.32192809488736 -0.304985018609162 72162 14790
"T86_P1_F7_ILC3" 2035 445 1018 -31 -25 -173 4492 2565 170 0.764047383430885 8.18734146860069 9.44814966287604 8.82202579551624 -3.32192809488736 -3.32192809488736 10.1593448440147 12.0288557707072 -3.32192809488736 64718 23069
"T86_P1_F8_ILC3" 601 378 860 -15 -19 60 2619 3655 864 1.27915700046756 7.16215514624955 8.90874749668956 2.48422493961949 -3.32192809488736 -3.32192809488736 9.76646265462883 9.58809611317639 -3.32192809488736 84247 16049
"T86_P1_F9_ILC3" 53 850 1591 -25 60 47 2724 5335 379 6.34073567491191 5.77792948455724 9.91644259663452 -3.32192809488736 -3.32192809488736 -3.32192809488736 8.67194866991281 10.0902209763435 -3.32192809488736 54304 19582
"T86_P1_G1_ILC3" 1950 631 1170 -4 -140 126 3066 2858 3478 6.51723706684487 7.72835603354334 9.78534241224542 10.7235312179492 -3.32192809488736 -3.32192809488736 8.933446364466 12.1210017512379 -3.32192809488736 80800 16720
"T86_P1_G10_ILC3" 4390 963 1293 -46 -116 -60 3957 4412 412 8.28925856977846 5.99370163273546 9.7505484071903 7.40367240382683 -3.32192809488736 -3.32192809488736 10.1453915853168 12.0553752168967 -3.32192809488736 81496 18509
"T86_P1_G12_ILC3" 2582 403 1325 -31 -147 -1 3371 5328 751 7.60341361238967 -1.83379331279593 9.23585036549316 0.582163967285224 -3.32192809488736 -3.32192809488736 9.7307573391223 9.29629630282648 -3.32192809488736 83514 13860
"T86_P1_G3_ILC3" 513 812 1995 -105 -8 -105 2839 4823 749 -3.32192809488736 7.98203580788061 9.25079397223901 8.27855097146297 -3.32192809488736 -3.32192809488736 9.88765636420333 11.4939328364537 -3.32192809488736 55922 15729
"T86_P1_G5_ILC3" 315 743 1311 -3 13 -31 2658 3469 310 -3.32192809488736 6.44620340687715 10.489989398799 0.482786463722267 -3.32192809488736 -3.32192809488736 9.37545060801503 9.61647223218837 -1.62321743728688 76720 18226
"T86_P1_G6_ILC3" 179 552 1799 -2 39 0 4285 8576 194 7.92327621707557 7.83722035241708 8.97051491945771 9.39943492835427 -3.32192809488736 -3.32192809488736 9.65690604641232 11.8868630878005 -1.72003143174409 82206 15786
"T86_P1_G7_ILC3" 2021 1532 1096 48 1 -43 5687 3219 711 0.366585969868249 6.78618348820324 10.2386160432869 1.70257056930601 -3.32192809488736 -3.32192809488736 9.40235799665024 10.8294890252199 -3.32192809488736 75184 11291
"T86_P1_G8_ILC3" 1154 854 662 -5 -92 19 2201 2552 10039 7.4291138425811 8.23879235788382 10.1257694624996 10.6195536185392 -3.32192809488736 -3.32192809488736 8.24479533542483 11.7891223851223 7.98427613274927 73198 25425
"T86_P1_G9_NK" 0 -14 13 971 -297 104 3345 517 6468 -3.32192809488736 -0.805849531636961 2.43731609449656 10.3698345341861 -3.32192809488736 -3.32192809488736 9.99427123430798 2.77006089965995 -3.32192809488736 78489 16949
"T86_P1_H10_ILC3" 1875 801 694 -54 72 42 4390 2343 197 8.34804988283724 -3.32192809488736 9.9447387933069 8.76334809387079 -3.32192809488736 -3.32192809488736 10.5731818420708 10.8411745663699 -3.32192809488736 72114 15145
"T86_P1_H11_ILC3" 1609 379 1702 -1 -121 23 3332 2077 134 7.86958437706376 5.00141893911533 9.78317797887723 0.90900132007596 -3.32192809488736 -3.32192809488736 8.40735731708075 11.4434702211956 -3.32192809488736 62451 14105
"T86_P1_H12_ILC3" 1697 450 2206 -9 67 -149 3374 4803 729 -3.32192809488736 7.28424902992443 10.2319222605286 0.58362883513058 -3.32192809488736 -3.32192809488736 9.5921604361796 8.90617413839617 6.50851956344552 75652 19266
"T86_P1_H2_ILC3" 2158 1084 904 -63 39 29 3229 3692 360 -3.32192809488736 8.75149506435366 9.87340858680308 -3.32192809488736 -3.32192809488736 -3.32192809488736 7.90784959660302 11.6395962550669 -3.32192809488736 69161 16313
"T86_P1_H3_ILC3" 220 812 889 -41 104 19 3449 3371 414 -3.32192809488736 4.97378110885807 8.90166186360928 8.67696680101815 -3.32192809488736 -3.32192809488736 10.6278545294682 10.5994781053748 -3.32192809488736 67602 16668
"T86_P1_H4_ILC3" 2444 229 800 -23 14 15 5672 4079 297 8.73241144237606 7.59831425443125 9.16280162876916 -3.32192809488736 -3.32192809488736 -3.32192809488736 4.34998204212468 9.56090468897834 -0.167963352181521 63612 17263
"T86_P1_H5_ILC3" 148 386 970 -7 6 -40 3162 3300 103 -3.32192809488736 7.06304048963309 9.25023295765643 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.7581643339003 11.6343828921382 0.0988968551687185 61352 12077
"T86_P1_H8_ILC3" 2275 887 1757 -5 -234 93 3966 5732 2091 -3.32192809488736 6.84007159537719 9.92135615899269 7.97944159439496 -3.32192809488736 -3.32192809488736 9.02101918308304 11.0393867346574 -1.0186778768502 72980 21509
"T86_P1_H9_ILC3" 589 416 1258 29 -101 -34 3443 1356 233 8.10224218491425 7.28586261635235 9.03988637839264 -3.32192809488736 -3.32192809488736 -3.32192809488736 8.77252060189318 10.0595707057332 -3.32192809488736 74109 16992
"T86_P2_A10_ILC2" -64 142 1110 -77 -91 769 4890 10941 343 -3.32192809488736 -3.32192809488736 10.4773849514712 -3.32192809488736 -3.32192809488736 5.68012479152886 8.39260832757019 11.8440918606223 -3.32192809488736 60932 14769
"T86_P2_A12_ILC2" -44 21 1090 -62 -42 868 4534 6271 89 -3.32192809488736 -3.32192809488736 8.83407542101195 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.3400333948146 11.0593557165128 -3.32192809488736 65155 12380
"T86_P2_A3_ILC2" 9 -10 848 0 20 969 4846 8349 202 -3.32192809488736 -3.32192809488736 9.57133490625102 -3.32192809488736 -3.32192809488736 -1.24391026850021 9.22060344771003 11.4119114683757 6.36422600369907 67777 11815
"T86_P2_A5_ILC2" -41 -7 835 -29 -24 1847 4873 7420 51 -3.32192809488736 -3.32192809488736 0.49153464509955 -3.32192809488736 -3.32192809488736 -3.32192809488736 7.68689340600671 10.7931025384297 -1.26383561341293 77626 13020
"T86_P2_A7_ILC2" -38 181 1467 -19 -45 1047 6451 5021 198 -3.32192809488736 -3.32192809488736 9.28559617534673 -3.32192809488736 -3.32192809488736 -3.32192809488736 8.56635639538096 10.0571458142669 -3.32192809488736 65333 17225
"T86_P2_A8_ILC2" 26 114 1584 -32 -77 1080 8529 2050 161 -3.32192809488736 -3.32192809488736 8.53310961456364 -3.32192809488736 -3.32192809488736 -3.32192809488736 8.61547416496892 9.40947115383443 -3.32192809488736 64480 15760
"T86_P2_A9_ILC2" 11 23 1203 -31 -7 931 6853 2761 59 -3.32192809488736 -3.32192809488736 7.76799907925913 -3.32192809488736 -3.32192809488736 -0.339707503134127 7.58756579071954 9.02899996077239 -3.32192809488736 63514 14951
"T86_P2_B1_ILC2" -13 107 922 -11 18 720 5227 8565 115 -3.32192809488736 -3.32192809488736 9.86104609735406 0.14331323296354 -3.32192809488736 6.60494016603815 7.53984764510132 12.224654754221 -3.32192809488736 63398 13201
"T86_P2_B12_ILC2" -50 9 1019 -77 -71 537 3961 9101 176 -3.32192809488736 -3.32192809488736 8.95178466866915 -3.32192809488736 -3.32192809488736 -3.32192809488736 8.64444570300534 12.2328739144387 -3.32192809488736 64115 11867
"T86_P2_B3_ILC2" -81 21 786 -63 44 878 5512 13037 -35 -3.32192809488736 -3.32192809488736 9.7549494468291 -3.32192809488736 -3.32192809488736 -0.359964523323677 10.5783644229678 11.812678346983 -1.85986338039842 62540 11215
"T86_P2_B5_ILC2" -12 0 1256 9 -63 1033 4983 5025 74 -3.32192809488736 -3.32192809488736 8.7890052731017 0.49769883279561 -3.32192809488736 6.45936213234925 10.0626307915161 10.5333082433102 -3.32192809488736 63363 10977
"T86_P2_B6_ILC2" -63 39 898 -47 41 848 4734 10543 135 -3.32192809488736 -3.32192809488736 6.46233051527394 -3.32192809488736 -3.32192809488736 -3.32192809488736 -0.827777025039688 10.7268656563856 -3.32192809488736 57739 8548
"T86_P2_B7_ILC2" -2 6 860 -26 -62 924 3224 4282 133 -3.32192809488736 -3.32192809488736 10.7934344030839 0.854284072625548 -3.32192809488736 8.26425215421526 7.71576777945233 7.97948850879274 -3.32192809488736 64648 13746
"T86_P2_B9_NK" 50 -48 39 2628 -24 94 5689 1829 6640 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.4438820535036 -3.32192809488736 -3.32192809488736 10.0627519759701 2.08010970719959 4.64712808984203 84608 14618
"T86_P2_C1_ILC2" -2 23 715 -35 -90 894 3560 9555 230 -3.32192809488736 -3.32192809488736 10.2070273901542 -3.32192809488736 -3.32192809488736 -3.32192809488736 8.14503502018385 11.6417121484618 -3.32192809488736 58334 9782
"T86_P2_C10_ILC2" -63 236 1176 -95 -37 659 7174 12111 247 -3.32192809488736 -3.32192809488736 9.79793227095266 -3.32192809488736 -3.32192809488736 0.358063278910955 8.35534512680469 12.6606159022579 -3.32192809488736 58676 15418
"T86_P2_C11_ILC2" -35 7 949 -55 -52 1068 4558 6423 121 -3.32192809488736 -3.32192809488736 10.7935048900378 -3.32192809488736 0.823251289448614 8.43828215416454 9.41232612061365 9.83758773942094 -3.32192809488736 62732 16389
"T86_P2_C12_ILC2" -98 356 1077 -57 -27 1734 4298 7780 162 -3.32192809488736 -3.32192809488736 0.803176835197634 -3.32192809488736 -3.32192809488736 2.38999591641857 9.68009129830606 12.1087762821254 -1.0041130708064 55968 13817
"T86_P2_C2_ILC2" -27 17 726 10 -14 698 6650 1109 -6 -3.32192809488736 -3.32192809488736 6.67808282700537 -3.32192809488736 -3.32192809488736 8.40384214184665 8.57309843927308 8.56559365347769 -3.32192809488736 57996 11471
"T86_P2_C3_ILC2" 3 176 676 -12 -26 791 5624 3600 178 -3.32192809488736 -3.32192809488736 9.45834530621493 -3.32192809488736 -3.32192809488736 8.06359046590791 8.33507068281063 10.5947556531681 -2.10382190629783 61278 12465
"T86_P2_C5_ILC2" -17 16 854 -25 -27 616 6189 1421 17 -3.32192809488736 -3.32192809488736 7.02174887829318 -3.32192809488736 -3.32192809488736 -0.414091078158844 10.2870430280677 1.92325075824667 -3.32192809488736 50084 12263
"T86_P2_C6_ILC2" -45 207 1076 -34 -84 1899 4138 5543 216 -3.32192809488736 -3.32192809488736 10.3532199787382 -3.32192809488736 -3.32192809488736 -3.32192809488736 8.77793618655124 11.3953360550499 -3.32192809488736 58343 10779
"T86_P2_C7_ILC2" -13 49 910 -1 -24 2285 3600 5444 79 -3.32192809488736 -3.32192809488736 9.89280392504357 -3.32192809488736 -3.32192809488736 7.92758290400423 8.96521108270206 7.17683615549217 -3.32192809488736 48372 8758
"T86_P2_C8_ILC2" 10 110 1204 -36 -26 552 7202 1632 89 -3.32192809488736 7.99096538916286 10.2992543673353 -3.32192809488736 -3.32192809488736 7.84662557434803 7.9383010508326 9.6448473924955 -3.32192809488736 55242 15605
"T86_P2_C9_ILC2" -67 14 997 -26 -99 1904 4122 11056 318 -3.32192809488736 -3.32192809488736 9.64083286264408 -3.32192809488736 -3.32192809488736 7.40849588749398 9.96836584038662 9.03471483513256 -3.32192809488736 60854 11410
"T86_P2_D1_ILC2" 26 90 954 -56 -45 1299 8492 4790 59 -3.32192809488736 -3.32192809488736 6.70492900832304 -3.32192809488736 -3.32192809488736 7.83049650612438 8.3806204675042 10.0222087693432 -1.08012652961065 65844 14804
"T86_P2_D11_NK" 3 1 144 1751 137 70 3572 976 5930 -3.32192809488736 -3.32192809488736 1.10807386025925 10.1886186551877 7.76650773895189 -0.78120376734507 8.67991328990816 2.88652763143146 -3.32192809488736 78124 18048
"T86_P2_D12_ILC2" -46 378 1248 -35 16 642 8326 2425 -4 -3.32192809488736 -3.32192809488736 9.71522303291852 -3.32192809488736 -3.32192809488736 7.30679158299875 8.2300506322293 10.0738413592036 -3.32192809488736 63944 13861
"T86_P2_D2_NK" -2 11 64 1588 -25 -17 7099 1204 8472 -3.32192809488736 -3.32192809488736 -0.148944442591108 9.82557037159559 5.70543370060883 -3.32192809488736 8.18106401259574 3.84088602971522 7.80786248531167 80215 18719
"T86_P2_D3_ILC2" -2 -50 684 -37 -69 657 2392 1019 74 -3.32192809488736 -3.32192809488736 10.2327722194534 -3.32192809488736 -3.32192809488736 -1.35641266711185 10.0911198803205 8.28596002078333 -3.32192809488736 59849 18154
